,date,open,high,low,close,signal_1,signal_2,signal_3,DR
0,2015-11-26,0.87,0.91,0.8155,0.86,0,0,0,0
1,2015-11-27,0.86,0.89,0.86,0.88,0,0,0,1
2,2015-11-28,0.88,0.91,0.88,0.91,0,0,0,1
3,2015-11-29,0.91,0.91,0.85,0.87,0,0,0,0
4,2015-11-30,0.87,0.88,0.8674,0.88,0,0,0,1
5,2015-12-01,0.88,0.8885,0.8423,0.87,0,0,0,0
6,2015-12-02,0.87,0.87,0.8,0.82,0,0,1,0
7,2015-12-03,0.82,0.83,0.7979,0.83,0,0,0,1
8,2015-12-04,0.83,0.84,0.8246,0.84,0,0,0,1
9,2015-12-05,0.84,0.8699,0.8351,0.8699,0,0,0,1
10,2015-12-06,0.8699,0.87,0.825,0.825,0,0,1,0
11,2015-12-07,0.825,0.825,0.7829,0.79,0,0,0,0
12,2015-12-08,0.79,0.898,0.7796,0.7946,1,1,0,1
13,2015-12-09,0.7946,0.8533,0.761,0.8051,1,0,0,1
14,2015-12-10,0.8051,0.8683,0.7797,0.8437,0,0,0,1
15,2015-12-11,0.8437,0.9,0.77,0.8998,0,0,0,1
16,2015-12-12,0.8998,0.96,0.8998,0.96,0,0,0,1
17,2015-12-13,0.96,0.9749,0.8835,0.9199,1,0,1,0
18,2015-12-14,0.9199,0.99,0.9199,0.99,0,0,1,1
19,2015-12-15,0.99,1.0,0.96,1.0,0,0,1,1
20,2015-12-16,1.0,1.1,0.8,0.803,1,0,1,0
21,2015-12-17,0.803,0.9701,0.803,0.94,0,0,1,1
22,2015-12-18,0.94,0.94,0.9,0.9,0,0,1,0
23,2015-12-19,0.9,0.9193,0.8935,0.8935,0,0,1,0
24,2015-12-20,0.8935,1.065,0.8935,1.065,1,0,1,1
25,2015-12-21,1.065,1.065,0.91,0.91,1,0,1,0
26,2015-12-22,0.91,0.9999,0.88,0.88,1,0,1,0
27,2015-12-23,0.88,0.9897,0.87,0.8709,1,0,0,0
28,2015-12-24,0.8709,0.8899,0.85,0.87,0,0,0,0
29,2015-12-25,0.87,0.88,0.8569,0.88,0,0,0,1
30,2015-12-26,0.88,1.0,0.85,0.853,1,0,0,0
31,2015-12-27,0.853,0.918,0.84,0.918,0,0,0,1
32,2015-12-28,0.918,0.918,0.84,0.8749,0,0,0,0
33,2015-12-29,0.8749,0.89,0.8433,0.86,0,0,0,0
34,2015-12-30,0.86,0.929,0.86,0.8925,0,0,0,1
35,2015-12-31,0.8925,0.9666,0.8925,0.9488,1,0,0,1
36,2016-01-01,0.9488,0.9488,0.9184,0.9204,1,1,1,0
37,2016-01-02,0.9204,0.9547,0.9204,0.9547,1,1,0,1
38,2016-01-03,0.9547,0.97,0.9506,0.96,1,1,0,1
39,2016-01-04,0.96,0.9644,0.9186,0.95,1,1,0,0
40,2016-01-05,0.95,0.9599,0.8416,0.9426,1,1,0,0
41,2016-01-06,0.9426,0.952,0.9292,0.95,1,1,0,1
42,2016-01-07,0.95,0.96,0.93,0.94,1,0,0,0
43,2016-01-08,0.94,0.985,0.94,0.985,1,0,0,1
44,2016-01-09,0.985,0.998,0.9654,0.985,1,0,1,0
45,2016-01-10,0.985,1.0,0.985,1.0,1,0,1,1
46,2016-01-11,1.0,1.1,1.0,1.07,1,0,1,1
47,2016-01-12,1.07,1.25,1.047,1.225,1,0,1,1
48,2016-01-13,1.225,1.225,1.07,1.137,0,0,1,0
49,2016-01-14,1.137,1.17,1.1,1.17,1,1,1,1
50,2016-01-15,1.17,1.33,1.161,1.299,0,0,1,1
51,2016-01-16,1.299,1.32,1.198,1.212,1,1,1,0
52,2016-01-17,1.212,1.32,1.206,1.32,1,1,0,1
53,2016-01-18,1.32,1.55,1.307,1.466,1,1,0,1
54,2016-01-19,1.466,1.466,1.22,1.355,1,1,1,0
55,2016-01-20,1.355,1.61,1.281,1.403,1,1,0,1
56,2016-01-21,1.403,1.54,1.403,1.496,1,1,1,1
57,2016-01-22,1.496,1.66,1.42,1.52,1,1,1,1
58,2016-01-23,1.52,2.031,1.389,2.0,1,1,1,1
59,2016-01-24,2.0,2.3,1.1,2.1,1,1,1,1
60,2016-01-25,2.1,2.88,2.05,2.596,1,1,1,1
61,2016-01-26,2.596,2.802,2.25,2.3,0,0,1,0
62,2016-01-27,2.3,2.8,1.878,2.4,1,1,1,1
63,2016-01-28,2.4,2.611,2.236,2.546,1,1,1,1
64,2016-01-29,2.546,2.61,2.21,2.499,0,0,1,0
65,2016-01-30,2.499,2.6,2.37,2.441,1,0,1,0
66,2016-01-31,2.441,2.54,2.2,2.2,0,0,1,0
67,2016-02-01,2.2,2.321,2.0,2.165,0,0,0,0
68,2016-02-02,2.165,2.447,2.12,2.447,0,0,1,1
69,2016-02-03,2.447,2.539,2.301,2.53,1,0,1,1
70,2016-02-04,2.53,2.79,2.499,2.55,1,0,1,1
71,2016-02-05,2.55,2.59,2.47,2.565,1,0,1,1
72,2016-02-06,2.565,2.572,2.48,2.549,1,0,1,0
73,2016-02-07,2.549,3.0,2.51,2.898,1,0,1,1
74,2016-02-08,2.898,3.238,2.75,3.19,1,0,1,1
75,2016-02-09,3.19,4.0,3.135,4.0,1,1,1,1
76,2016-02-10,4.0,4.979,3.5,4.35,1,1,1,1
77,2016-02-11,4.35,6.375,3.44,6.0,1,1,1,1
78,2016-02-12,6.0,6.471,5.053,5.5,0,0,1,0
79,2016-02-13,5.5,5.8,4.07,5.33,0,0,1,0
80,2016-02-14,5.33,5.41,4.5,5.2,0,0,1,0
81,2016-02-15,5.2,5.98,4.5,5.152,0,0,1,0
82,2016-02-16,5.152,5.439,4.0,4.25,1,1,1,0
83,2016-02-17,4.25,4.779,3.5,3.794,1,1,1,0
84,2016-02-18,3.794,4.75,3.32,4.49,0,0,1,1
85,2016-02-19,4.49,4.75,4.15,4.72,0,0,1,1
86,2016-02-20,4.72,4.72,4.01,4.374,1,0,1,0
87,2016-02-21,4.374,4.63,4.0,4.63,0,0,1,1
88,2016-02-22,4.63,5.84,4.5,5.6,1,0,1,1
89,2016-02-23,5.6,6.0,5.32,5.55,0,0,1,0
90,2016-02-24,5.55,6.5,5.51,6.234,1,0,1,1
91,2016-02-25,6.234,6.64,5.55,6.1,0,0,1,0
92,2016-02-26,6.1,6.287,5.71,5.87,0,0,1,0
93,2016-02-27,5.87,6.5,5.75,6.311,1,1,0,1
94,2016-02-28,6.311,6.543,6.152,6.499,1,1,0,1
95,2016-02-29,6.499,6.625,6.0,6.348,1,1,0,0
96,2016-03-01,6.348,7.6,6.251,7.55,1,1,1,1
97,2016-03-02,7.55,9.9,7.04,8.41,1,1,1,1
98,2016-03-03,8.41,9.94,8.3,9.111,1,1,1,1
99,2016-03-04,9.111,10.03,8.27,10.03,1,1,1,1
100,2016-03-05,10.03,12.0,9.75,10.89,1,1,1,1
101,2016-03-06,10.89,11.9,9.75,11.19,0,0,0,1
