,CMR_x,CMR_y,CSR_x,CSR_y,action_x,action_y,close_ts_x,close_ts_y,close_x,close_y,duration_x,duration_y,high_x,high_y,low_x,low_y,mr_x,mr_y,open_ts_x,open_ts_y,open_x,open_y,sl_x,sl_y,sr_x,sr_y,tp_x,tp_y,trade_id,win_x,win_y
22,1.90104438642298,1.97193211488251,1.3700331714337042,1.3700331714337042,Sell,Sell,2019-07-03,2019-07-04,291.24,302.1,1.0,2.0,295.99,420.83,271.6,271.6,0.9922660216006268,1.0292664645156897,2019-07-02,2019-07-02,293.51,293.51,False,False,1.0,1.0,False,False,1562025600.0,True,False
23,1.752545691906008,,1.3700331714337042,,Cash,,2019-07-12,,268.49,,9.0,,318.61,,262.09,,0.9218857299821452,,2019-07-03,,291.24,,False,,1.0,,False,,1562112000.0,True,
25,1.5347911227154072,,1.3945983473853691,,Sell,,2019-07-15,,235.13,,2.0,,275.83,,229.18,,0.8535283868157397,,2019-07-13,,275.48,,False,,1.0,,False,,1562976000.0,True,
28,1.380548302872065,1.380548302872065,1.4176773713699231,1.0934546101036688,Buy,Cash,2019-07-18,2019-07-18,211.5,211.5,1.0,1.0,219.8,219.8,192.58,192.58,1.0645794533648765,1.0645794533648765,2019-07-17,2019-07-17,198.67,198.67,False,False,1.056321135551417,1.0,False,False,1563321600.0,True,False
30,1.4758485639686707,1.4549608355091408,1.4335805133622015,1.0934546101036688,Buy,Cash,2019-08-07,2019-08-05,226.1,222.9,3.0,1.0,239.63,223.71,216.65,216.65,1.0192949238121,1.0048688125507168,2019-08-04,2019-08-04,221.82,221.82,False,False,1.0112177441168515,1.0,False,False,1564876800.0,True,False
32,1.2275456919060068,,1.4363749944746074,,Buy,,2019-08-16,,188.06,,1.0,,189.69,,173.76,,1.0099892588614394,,2019-08-15,,186.2,,False,,1.0019493018259935,,False,,1565827200.0,True,
33,1.1635117493472604,,1.4363749944746074,,Sell,,2019-09-08,,178.25,,23.0,,203.79,,163.49,,0.9478357970860368,,2019-08-16,,187.94,,False,,1.0,,False,,1565913600.0,True,
77,,1.8772845953002644,,1.272800271040433,,Buy,,2019-07-06,,287.6,,2.0,,303.79,,280.0,,0.9520026481297584,,2019-07-04,,302.1,,False,,0.929028798411122,,False,1562198400.0,,False
78,,2.000456919060056,,1.272800271040433,,Cash,,2019-07-08,,306.47,,2.0,,310.97,,284.12,,1.0656119610570236,,2019-07-06,,287.6,,False,,1.0,,False,1562371200.0,,False
79,,2.0465404699738943,,1.291821464766948,,Buy,,2019-07-09,,313.53,,1.0,,315.0,,302.51,,1.0230365125460892,,2019-07-08,,306.47,,False,,1.0149443664959048,,False,1562544000.0,,True
80,,2.0101174934725883,,1.291821464766948,,Sell,,2019-07-10,,307.95,,1.0,,318.61,,302.39,,0.9822026600325328,,2019-07-09,,313.53,,False,,1.0,,False,1562630400.0,,True
81,,1.7525456919060085,,1.1458440032347377,,Buy,,2019-07-12,,268.49,,2.0,,314.73,,262.09,,0.8718623153109272,,2019-07-10,,307.95,,True,,0.8869987335606427,,False,1562716800.0,,False
82,,1.475848563968671,,1.100342049639719,,Buy,,2019-08-07,,226.1,,2.0,,239.63,,222.0,,1.0143562135486766,,2019-08-05,,222.9,,False,,1.006298788694482,,False,1564963200.0,,True
